Aguanueva,Concepcion,Grunidora,Loreto,Ojocaliente,Pinos,SanPedro,VillaDeCos,VillaGarcia,,Cluster I Semi-arid,,Excamé,Villita,Téul,Tlaltenango,,Cluster II Canyons,,,Bufa,Calera,Cazadero,Chalchihuites,Sauz,Fresnillo,Jerez,Jiménez,Chique,Santa Rosa,Trancoso,Villanueva,Zacatecas,,Cluster III Highlands,,,Florida,Monte Escobedo,Platanito,Juchipila,,Cluster IV Mountains
-0.609671555,-0.83444635,-0.476668628,-0.877278762,0.244226944,-0.147418958,-0.560061714,0.560070775,0.385062065,,-0.2574,,-0.018014271,-0.587026942,0.814792674,-1.103219047,,-0.2234,,,-1.106294371,-0.262919675,-0.076096808,0.822432794,0.42491788,-1.604661069,0.016830203,1.222779338,-0.490504102,-0.260166196,-0.517944242,0.686834256,-0.520612165,,-0.1281,,,-0.343459714,-0.261653468,0.322682194,0.322682194,,0.0101
-0.620100833,-0.565534103,-0.611302747,-0.813100189,0.023725211,-0.318299512,-0.883220633,0.351917345,0.377538392,,-0.3398,,-0.164172481,-0.786877379,0.671855269,-1.225383503,,-0.3761,,,-1.181837318,-0.351205319,-0.18836246,0.839385361,0.342269931,-1.545803282,-0.031314481,1.10194121,-0.734808392,-0.225844516,-0.858923295,0.565707935,-0.608457584,,-0.2213,,,-0.564337003,-0.130645367,0.218574599,0.218574599,,-0.0645
-0.511449048,-0.558797827,-0.509253336,-0.453987728,0.068350817,-0.1199165,-0.612370163,0.352052217,0.668283627,,-0.1863,,-0.075779696,-0.469769611,0.753878763,-1.312979584,,-0.2762,,,-1.244756818,-0.379841904,-0.199477812,0.866502281,0.362699306,-1.236438963,0.03169206,1.085933395,-0.679643365,-0.21576512,-0.792299656,0.754646153,-0.522924187,,-0.1669,,,-0.549733577,-0.021041176,0.23857842,0.23857842,,-0.0234
-0.527529898,-0.563755067,-0.520598617,-0.434628512,0.069917268,-0.019820337,-0.633677543,0.351896123,0.655272819,,-0.1803,,0.039249028,-0.462541315,0.744288257,-1.162466504,,-0.2104,,,-1.282949201,-0.386864279,-0.203684519,0.909658668,0.352464981,-1.26288639,0.031477988,1.076287501,-0.667188815,-0.287818358,-0.813676369,0.749917613,-0.545696952,,-0.1793,,,-0.538898271,-0.041803086,0.238477739,0.238477739,,-0.0259
-0.272746229,-0.32236875,-0.32297597,-0.06669398,0.351331909,0.286266606,-0.159837336,0.643685571,1.045098454,,0.1313,,0.077326671,-0.317459648,0.813981649,-1.138445624,,-0.1411,,,-1.088741715,0.333278507,-0.0802053,0.965498927,0.39594769,-1.217730142,0.318522877,1.064039308,-0.488515456,-0.247591494,-0.400805897,1.049150309,-0.566906999,,0.0028,,,-0.400276496,0.100804828,0.296665004,0.296665004,,0.0735
-0.71350962,-0.404192593,-0.852805268,0.064466439,0.169975531,0.448082508,-0.109122936,0.370912249,0.763978553,,-0.0291,,0.07364924,-0.406323221,0.985950917,-0.986077798,,-0.0832,,,-1.152196123,0.080780009,-0.230808346,0.859864375,0.270958781,-1.427333332,0.25745831,1.133661334,-0.409157077,-0.195786093,-0.616852871,1.06779243,-0.803268948,,-0.0896,,,-0.410529623,0.314279991,0.295530485,0.295530485,,0.1237
-0.881632809,-0.434855035,-0.823896118,0.104422719,0.087385733,-0.152216239,0.547815338,0.293043118,0.685767209,,-0.0638,,0.489057107,-0.719083953,0.096822523,-0.998744588,,-0.2830,,,-1.108690714,-0.301084349,-0.000382731,0.781057541,0.210058423,-1.576156436,0.265667284,0.971603464,-0.54772014,-0.24802791,-0.39605046,0.991151765,-0.63229343,,-0.1224,,,-1.00308848,0.666493093,-0.516473145,-0.516473145,,-0.3424
-0.577061009,0.172353307,-0.435252485,0.184233392,-0.002733072,-0.259985212,0.837918032,0.535064709,0.798125839,,0.1392,,-0.368987393,-0.869234045,0.256608649,-0.751711508,,-0.4333,,,-1.469681228,-0.165608722,0.004011733,0.703684957,-0.039265674,-1.885311678,0.409383941,0.737341787,-0.521419788,-0.221950662,-0.159696011,0.881665112,-1.021448134,,-0.2114,,,-0.53806082,0.419420253,0.113111904,0.113111904,,0.0269
-0.354292582,0.834752864,0.24574906,0.591439547,0.65419454,0.114367888,1.350237501,0.960679315,1.176597287,,0.6193,,0.741050127,0.249457892,0.131109028,0.023287055,,0.2862,,,-0.939181433,0.893197905,0.205304788,0.606159093,0.786484374,-1.40928214,1.342328642,0.814685511,0.28990539,-0.451019747,0.909399687,0.859939183,0.165040245,,0.3133,,,0.036200632,1.167687068,-0.093806886,-0.093806886,,0.2541
0.154418624,0.811470265,0.469849724,0.523272476,0.028449241,0.122684843,0.747332693,0.737339156,0.529065326,,0.4582,,1.520502964,0.588605274,0.352403961,0.147320732,,0.6522,,,-1.090428453,0.824747846,0.169018582,-0.408722372,0.399684928,-1.807391483,1.078213631,0.850073061,-0.563571067,-0.153037011,0.773094442,0.42111028,-0.22934926,,0.0203,,,-0.258510819,0.704371384,-0.978754179,-0.978754179,,-0.3779
0.086948149,0.914947896,0.27316294,0.681685044,0.032351473,0.187806617,0.580849422,0.504732038,0.76544887,,0.4475,,1.155138643,0.305256072,-0.080637547,0.138970361,,0.3797,,,-1.059485837,0.786722057,-0.104719206,-0.82488508,-0.08130021,-1.99424081,0.687357069,0.885261293,-0.790553675,-0.18044247,1.10020321,0.165407858,-0.267717837,,-0.1291,,,-0.470251939,0.975248876,-1.271357659,-1.271357659,,-0.5094
0.28645232,1.012212946,0.309017013,0.80203696,-0.117351137,0.122222713,0.562493817,0.235900606,0.654779958,,0.4298,,1.130935127,0.232898534,-0.020497905,0.124373496,,0.3669,,,-1.070772019,0.975784016,0.115734567,-0.879347201,-0.148507161,-1.970240887,0.744106961,0.950753746,-0.892038258,-0.033858636,1.264834683,0.031206725,-0.230344839,,-0.0879,,,-0.560548644,1.24117328,-1.355965077,-1.355965077,,-0.5078
0.509669361,1.259798617,0.776157751,0.971193359,0.091294552,0.137438649,0.567773898,0.091925644,0.615469856,,0.5579,,1.239777489,0.359574752,-0.185680807,0.046306259,,0.3650,,,-1.077570162,1.20373876,0.343996877,-0.578299414,0.141335222,-2.05841536,0.755474828,1.001839714,-0.778492869,0.293954979,1.319957459,0.006125399,-0.150085108,,0.0326,,,-0.326533501,1.409989751,-1.498484662,-1.498484662,,-0.4784
0.553634424,1.866304154,0.966744637,1.159471168,0.146507734,0.319738381,0.768652024,0.251544754,0.755362233,,0.7542,,1.343739107,0.535776933,-0.242518765,0.163899198,,0.4502,,,-1.038562,1.27741522,0.451391054,-0.575682427,0.287021659,-2.132232347,0.784526952,1.027218542,-0.735026373,0.325845787,1.432009286,0.041549135,0.10652034,,0.0963,,,0.217290359,1.419765438,-1.312815675,-1.312815675,,-0.2471
0.477796336,1.977787795,0.944287389,0.906731102,0.092718081,0.16534128,0.584811931,0.206249635,0.719640424,,0.6750,,1.257096168,0.305286869,-0.207835648,0.144349625,,0.3747,,,-1.04264571,1.344990701,0.47073818,-0.497810687,0.34989794,-2.463201696,0.80669552,1.057525488,-0.793365007,0.416215944,1.386832154,-0.089953932,0.11343727,,0.0815,,,0.335653755,1.580535921,-1.241814372,-1.241814372,,-0.1419
0.498768305,2.070134072,0.997758038,0.988403663,0.253433543,0.305124887,0.725180125,0.205552781,0.986799421,,0.7812,,1.174649384,0.315922665,-0.203603745,0.084732006,,0.3429,,,-1.035072006,1.398153065,0.486039366,-0.563443113,0.405713571,-1.774918323,0.805077845,1.048179567,-0.753910225,0.421813852,1.487616602,0.021096575,0.164745804,,0.1624,,,0.333124414,1.623859086,-1.240298223,-1.240298223,,-0.1309
0.40856905,1.859824111,0.994463286,0.762333535,0.15297921,-0.03418969,0.544354494,0.018810443,0.807398485,,0.6127,,1.515706304,0.64098862,-0.021168552,0.575960403,,0.6779,,,-1.170532892,0.954950589,0.453525287,-0.55438625,0.600628665,-1.472020359,0.858404243,1.036308219,-0.860019906,0.559648797,1.449876662,0.029892668,0.31630968,,0.1694,,,0.503210451,1.800355426,-0.920923168,-0.920923168,,0.1154
0.731102256,2.026534398,1.132149159,0.450272078,0.288948783,-0.017145288,0.591365362,0.372372374,0.826907505,,0.7114,,1.513962911,0.647463183,-0.458836829,0.564290547,,0.5667,,,-1.193929685,0.948563411,0.646669728,-0.368966053,0.742848764,-1.258528947,0.987287365,1.042976959,-0.958902491,0.519376509,1.538072314,0.013333482,0.279154364,,0.2260,,,0.480822441,1.747699552,-0.635367084,-0.635367084,,0.2394
1.006906978,2.487418278,1.304500016,1.195340302,0.812593566,0.726905633,0.600412664,0.712356954,1.302817588,,1.1277,,1.278698623,1.185391364,-0.071200666,0.700289239,,0.7733,,,-0.984612202,1.56165106,0.576472747,-0.240780834,0.727100888,-0.713103244,1.769920135,1.285005097,-0.652790024,0.749659038,1.448700485,0.522880569,0.729254206,,0.5215,,,0.906106062,1.912579636,0.478811091,0.478811091,,0.9441
1.008469851,2.415580923,1.389477134,1.441225179,0.926349861,0.825939085,0.615938282,0.757169249,1.291298093,,1.1857,,1.723139478,1.71471492,-0.470024137,0.817116457,,0.9462,,,-1.116529057,1.833450561,0.373586622,0.252130597,0.578609937,-0.40097781,1.306630273,1.208056192,-0.254983895,0.789788728,1.640055889,1.411639922,0.958224182,,0.6600,,,1.036066026,2.194547283,0.009055663,0.009055663,,0.8122
1.475800378,2.012913277,1.332581928,1.219354319,1.015173127,0.914745417,0.339512159,0.495362162,1.245071502,,1.1167,,1.250793421,1.326352345,-0.72546354,0.754181876,,0.6515,,,-1.771126966,1.669129297,0.508898815,1.457854196,1.045024086,-0.024102374,0.930858046,1.52071098,0.256957778,1.423546574,1.527024753,1.307218294,0.431388321,,0.7910,,,1.319399454,1.915407874,0.599570111,0.599570111,,1.1085
